"","context","extent_out","conservative_combo","conservative_pct","conservative_n","lgbq_combo","lgbq_pct","lgbq_n","tgnc_combo","tgnc_pct","tgnc_n","liberal_combo","liberal_pct","liberal_n"
"1","colleauges","all","35.2 (37)","35.2","37","37.3 (38)",37.3,38,"33.3 (7)",33.3,7,"36.2 (38)",36.2,38
"2","colleauges","some","39.0 (41)","39.0","41","38.2 (39)",38.2,39,"42.9 (9)",42.9,9,"39.0 (41)",39,41
"3","colleauges","none","25.7 (27)","25.7","27","24.5 (25)",24.5,25,"23.8 (5)",23.8,5,"24.8 (26)",24.8,26
"4","lab","all","40.2 (37)","40.2","37","42.7 (38)",42.7,38,"38.1 (8)",38.1,8,"43.5 (40)",43.5,40
"5","lab","some","26.1 (24)","26.1","24","23.6 (21)",23.6,21,"33.3 (7)",33.3,7,"22.8 (21)",22.8,21
"6","lab","none","33.7 (31)","33.7","31","33.7 (30)",33.7,30,"28.6 (6)",28.6,6,"33.7 (31)",33.7,31
"7","grads","all","25.8 (23)","25.8","23","27.9 (24)",27.9,24,"31.6 (6)",31.6,6,"27.0 (24)",27,24
"8","grads","some","24.7 (22)","24.7","22","23.3 (20)",23.3,20,"26.3 (5)",26.3,5,"23.6 (21)",23.6,21
"9","grads","none","49.4 (44)","49.4","44","48.8 (42)",48.8,42,"42.1 (8)",42.1,8,"49.4 (44)",49.4,44
"10","ugs","all","21.0 (22)","21.0","22","23.5 (24)",23.5,24,"28.6 (6)",28.6,6,"24.8 (26)",24.8,26
"11","ugs","some","25.7 (27)","25.7","27","23.5 (24)",23.5,24,"28.6 (6)",28.6,6,"22.9 (24)",22.9,24
"12","ugs","none","53.3 (56)","53.3","56","52.9 (54)",52.9,54,"42.9 (9)",42.9,9,"52.4 (55)",52.4,55
"13","public","yes","41.7 (45)","41.7","45","46.1 (47)",46.1,47,"47.6 (10)",47.6,10,"46.3 (50)",46.3,50
