"","ID","lgbtq.gender.conceal","lgbq.conceal","lgbtq.gender.reveal.why","lgbq.reveal.why","lgbtq.gender.reveal.benefit","lgbq.reveal.benefit","lgbtq.gender.conceal.why","lgbq.conceal.why"
"1",1008,"","yes","","","","no","","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I had never thought about revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all students in this course<split here>Other, please describe:"
"2",1048,"","yes","","","","yes","","I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people"
"3",1055,"","yes","","","","no","","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I had never thought about revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all students in this course"
"4",1067,"","yes","","","","no","","I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would waste class time"
"5",1068,"","no","","","","yes","","I did not feel like I had a personal enough relationship with the students in this course"
"6",1072,"yes","yes","I felt that revealing my LGBTQ+ gender identity (eg transgender, non-binary) to students in this course was appropriate<split here>I wanted to be an example to my students of someone who identifies as LGBTQ+ due to my gender identity (eg transgender, non-binary)<split here>I wanted to serve as a mentor to students with LGBTQ+ gender identities (eg transgender, non-binary)<split here>I wanted to be known as a supporter of individuals who identify as LGBTQ+ due to their gender (eg transgender, non-binary)","","","yes","","Other, please describe:"
"7",110,"","yes","","","","no","","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all students in this course<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would result in poor course evaluations<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned I could be fired for revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would waste class time"
"8",1151,"","yes","","","","yes","","I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department"
"9",1175,"","no","","","","no","","I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content"
"10",1176,"","yes","","","","yes","","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I had never thought about revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all students in this course<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would result in poor course evaluations<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would waste class time"
"11",1199,"","yes","","","","yes","","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would result in poor course evaluations<split here>Other, please describe:"
"12",121,"yes","yes","","","yes","yes","I typically do not share my LGBTQ+ gender identity (eg transgender, non-binary) with people<split here>Other, please describe:","I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>Other, please describe:"
"13",1221,"","no","","","","yes","","I did not feel like I had a personal enough relationship with the students in this course"
"14",1228,"no","no","","I typically share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people","yes","","I typically do not share my LGBTQ+ gender identity (eg transgender, non-binary) with people",""
"15",1231,"","yes","","","","no","","I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content"
